,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,x3,y3,z3,vx3,vy3,vz3,time
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01786,0.0,1.002547,0.0,0.0,0.0,0.01845,0.0,0
1,4.493270769758448e-10,2.676039025670267e-12,0.0,8.986267166811985e-10,8.027848492403069e-12,0.0,0.9998530085140138,0.017859185129251276,0.0,-0.00029398138867778317,0.017857554563813292,0.0,1.0023317913429484,0.018443812892049286,0.0,-0.0004298053843440892,0.01843151266095133,0.0,1
2,1.7971837719857809e-09,2.2744953240872817e-11,0.0,1.7970043957483695e-09,3.210808587729724e-11,0.0,0.9994120443561569,0.03571307093958202,0.0,-0.0005879410862291337,0.01785021279070214,0.0,1.001688690675242,0.036847662153029495,0.0,-0.0008546494497637259,0.018376582515010734,0.0,2
3,4.043089060304518e-09,7.49153955311812e-11,0.0,2.6947239909563558e-09,7.222887128903406e-11,0.0,0.998677143997297,0.05355715765190748,0.0,-0.0008818524302740073,0.017837952929982394,0.0,1.0006277204846632,0.05517923382447962,0.0,-0.0012656569880345762,0.018287290799218557,0.0,3
4,7.186220625989475e-09,1.752177454249172e-10,0.0,3.5914571015415373e-09,1.283698716704845e-10,0.0,0.9976483720227076,0.07138650924456763,0.0,-0.0011756823914866447,0.017820739466658728,0.0,0.9991658330223399,0.07340589331080806,0.0,-0.00165664409072293,0.018167062754095072,0.0,4
5,1.1225428133593008e-08,3.3965799677746794e-10,0.0,4.486876088636181e-09,2.005026509154019e-10,0.0,0.9963258300442092,0.08919614837897913,0.0,-0.0014693900927865104,0.01779852524551688,0.0,0.9973258303877224,0.09149901054072512,0.0,-0.0020220830712353636,0.018020485074255868,0.0,5
6,1.615923411472389e-08,5.842096698113101e-10,0.0,5.380654324410124e-09,2.8859070010555864e-10,0.0,0.994709665259655,0.10698104515073699,0.0,-0.001762925267383745,0.017771252137055882,0.0,0.9951356472933311,0.10943508931732168,0.0,-0.0023572340842448023,0.01785325115219135,0.0,6
7,2.198583510191949e-08,9.248057579525335e-10,0.0,6.272466437607813e-09,3.9258947687673356e-10,0.0,0.992800080733527,0.12473610609286764,0.0,-0.0020562262619556898,0.01773885097898622,0.0,0.9926274877480801,0.12719687530514975,0.0,-0.002658313492257004,0.017672164754939265,0.0,7
8,2.8703103006034983e-08,1.3773307187417662e-09,0.0,7.16198855511079e-09,5.124464542092074e-10,0.0,0.990597348383213,0.14245616285867746,0.0,-0.002349216594166385,0.017701241170043513,0.0,0.9898367360107968,0.14477448878109425,0.0,-0.002922779223174362,0.017485171608951158,0.0,8
9,3.630858673313e-08,1.95761251840583e-09,0.0,8.04889853944745e-09,6.481011789627563e-10,0.0,0.9881018265845255,0.16013596082760354,0.0,-0.002641799253656798,0.017658331140438393,0.0,0.9868004869244451,0.1621665621744554,0.0,-0.0031497987974002167,0.017301319714553166,0.0,9
10,4.479951403692795e-08,2.6814147399960438e-09,0.0,8.932876222520184e-09,7.994853404670715e-10,0.0,0.9853139847262778,0.1777701495634222,0.0,-0.0029338487863352215,0.017610021764783147,0.0,0.9835555070215839,0.17938122585119692,0.0,-0.0033408968055851918,0.017130481048518324,0.0,10
11,5.417279360338962e-08,3.5644287652697672e-09,0.0,9.813603636199816e-09,9.6652284938173e-10,0.0,0.9822344361694322,0.19535327934678845,0.0,-0.0032252028798163703,0.017556215065757334,0.0,0.9801355085976655,0.1964365998880196,0.0,-0.003500642708818232,0.01698264443974286,0.0,11
12,6.44250173647595e-08,4.6222660405863864e-09,0.0,1.069076524073195e-08,1.1491299267836302e-09,0.0,0.9788639781943427,0.2128798098881912,0.0,-0.003515657302579479,0.017496829407051676,0.0,0.9765678515582509,0.21336029696631648,0.0,-0.003637066928550039,0.01686668253747613,0.0,12
13,7.555246304141279e-08,5.870450436823292e-09,0.0,1.1564048151887925e-08,1.3472152029932088e-09,0.0,0.9752036328477357,0.23034413696845946,0.0,-0.0038049692479772035,0.017431819216891662,0.0,0.9728701662420558,0.23018747059808412,0.0,-0.0037613961097346348,0.01678875153986755,0.0,13
14,8.755109691051615e-08,7.324410712538953e-09,0.0,1.2433142367254128e-08,1.5606798251101283e-09,0.0,0.9712546782031237,0.24774063848785635,0.0,-0.004092872365941873,0.017361193133160868,0.0,0.96904774663713,0.24695728847094128,0.0,-0.0038868416572411654,0.016750818537982524,0.0,14
15,1.0041657680036462e-07,8.999473088353893e-09,0.0,1.3297740991000523e-08,1.7894175718488324e-09,0.0,0.967018659006631,0.265063733850817,0.0,-0.004379101430395891,0.01728502246370343,0.0,0.9650926072906021,0.2637083226056518,0.0,-0.004026607739203393,0.016749973133377588,0.0,15
16,1.1414425530795428e-07,1.0910853939110882e-08,0.0,1.415754045531946e-08,2.033314974323983e-09,0.0,0.9624973712321873,0.2823079438409847,0.0,-0.004663418648527107,0.017203434985030273,0.0,0.9609846475373691,0.28047389662215516,0.0,-0.00419176620948003,0.01677892648446087,0.0,16
17,1.2872918323515947e-07,1.307365260931025e-08,0.0,1.501224073611763e-08,2.2922514419888508e-09,0.0,0.9576928244169103,0.29946793712864767,0.0,-0.004945632011982321,0.017116596249584205,0.0,0.9566946096361861,0.2972785124555481,0.0,-0.004389775979714074,0.0168275220205741,0.0,17
